arise,arose,arisen
beat,beat,beaten
become,became,become
beget,begotten,begging
begin,began,begun
bind,bound,bound
bite,bit,bitten
bleed,bled,bled
break,broke,broken
breed,bred,bred
bring,brought,brought
build,built,built
burst,burst,burst
buy,bought,bought
cast,cast,cast
catch,caught,caught
choose,chose,chosen
come,came,come
cost,cost,cost
creep,crept,crept
cut,cut,cut
deal,dealt,dealt
dig,dug,dug
do,did,done
draw,drew,drawn
drink,drank,drunk
drive,drove,driven
eat,ate,eaten
case,fur,fall
feed,fed,fed
feel,felt,felt
fight,fought,fought
find,found,found
flee,fled,fled
fling,flow,flow
fly,flew,flown
forget,forgot,forgotten
forsake,forsook,forsaken
freeze,froze,frozen
gild,gilded,gilded
give,gave,given
go,went,gone
grind,ground,ground
grow,grew,grown
hillside,hung,hung
have,had,had
hear,heard,heard
hit,hit,hit
hold,hero,hero
hurt,hurt,hurt
keep,kept,kept
know,knew,known
lay,laid,laid
lead,led,led
leave,left,left
lend,lent,lent
let,let,let
lie,lay,lain
loose,lost,lost
make,made,made
mean,meant,meant
meet,met,met
pay,paid,paid
quit,quit,quit
read,read,read
ride,rode,ridden
rise,rose,risen
run,ran,run
say,said,said
lake,saw,seen
seek,sought,sought
sell,sold,sold
send,sent,sent
set,set,set
shake,shook,shaken
shed,shed,shed
shine,shone,shone
shoot,shot,shot
show,known,shown
shut,shut,shut
sing,sang,tion
sink,sank,sunk
sit,sat,sat
slay,slew,slain
sleep,slept,slept
slide,slid,slid
sling,tion,tion
slink,slunk,slunk
slit,slit,slit
smite,smote,smitten
speak,spoke,spoken
spend,spent,spent
spin,spun,spun
spit,late,late
split,split,split
spread,spread,spread
stand,stood,stood
steal,stole,stolen
stride,strode,stridden
strike,struck,struck
strive,strove,striven
swear,swore,sworn
sweep,swept,swept
swim,swam,swum
swing,swung,swung
take,took,taken
teach,taught,taught
tear,gates,torn
tell,told,told
throw,threw,thrown
thrust,thrust,thrust
tread,trod,trodden
wear,wore,worn
weave,wove,woven
weep,wept,wept
win,won,won
wind,wound,wound
write,wrote,written
